Medicine,Condition,Review
Insulin detemir,"Diabetes, Type 2","""I&#039;ve been using Levemir for several years now to control my Type II Diabetes.  It has been doing a fantastic job.  It keeps my A1C levels below 7 and my morning sugar levels are usually below 100.  When I first started using Levemir I was at 24 units but as the years went by I&#039;ve had to increase the doasge up to where I am at now to 38 units.  But it is working!  Every once in a while I may get a little itching at an injection site but no other side effects! I had been on all the oral glycemics and other injectable insulins before, but nothing had controlled my diabetes like this."""
Sitagliptin,"Diabetes, Type 2","""Great works for me 94pt avg"""
Invokana,"Diabetes, Type 2","""I&#039;ve lost weight and feel better"""
Sitagliptin,"Diabetes, Type 2","""Works real good, my doctor is happy now. The only side effect is large hard stool which plugs the bathroom plumbing up every time, so I need to carry a plunger with me when away from home. Have been on it for about 3 months now, 100mg daily, along with 1000mg Metformin twice daily, and 4mg Glipizide twice daily."""
Chromium picolinate,"Diabetes, Type 2","""Working on a diet program, the doctor gave this vitamin, I noticed low sugar, at times, my sugar went far too low, nearly causing me to pass out. Realizing what I am taking new, I reviewed information right here and so now I know to lower my insulin. Contacted my endocrinologist, suggested to test more frequently. Hopefully, if I do lose weight, want to be off insulin altogether.  Thanks for the information"""
Exenatide,"Diabetes, Type 2","""I have been off and on Byetta for about 2 years.  I had issues with vomiting and not being able to tolerate the 10mg.  Finally I found the answer.  My doctor said to take the injection then wait 1 full hour to eat, and not to eat more than a very very small portion of food. I have not had any upset stomach doing this. I thought it was because of what I ate, like salad dressing or greasy foods, but it was the amount of food that I ate that was making me sick.  I haven&#039;t been sick this round of using the medicines, using this method and feeling very full after just a few bites of food.  Try limiting your food intake to relieve stomach upset."""
Januvia,"Diabetes, Type 2","""I have been taking Januvia for 3 months and my A1C has dropped from 7.2 to 6.6.  I have also lost 12 pounds."""
Januvia,"Diabetes, Type 2","""I have had no side effects from Januvia.  My A1C went from 9.2 to 5.5 using 1500 mg of Metformin and 100 mg Januvia, and adjusting my diet and exercising a bit.   I am lucky in tht neither Metformin or Januvia seems to bother me.

There is a savings certificate on the Januvia site to keep the co pay down to $5, normally it would be $55 for me."""
Insulin degludec,"Diabetes, Type 1","""I have been taking 14 units each morning for the past 3 weeks.  Week one not bad I think because of the transition from Lantus to Trebisa.  Week 2 started having highs in the morning with meals and then dropping low starting around 4pm.  Week three highs still in the morning and having to take triple Novolog (1 unit per 15 carbs) and then by 4 pm dropping to the 40&#039;s and 50&#039;s and having to drink up to 3 8oz glasses of OJ to level back out.  This week I am trying to split the dosage to 7 units in the morning and 7 at night.  That was a fail, I ran high all night.  With all these challenges Dr. switched me back to Lantus."""
Sitagliptin,"Diabetes, Type 2","""Januvia side effects include crippling, debilitating pain, and swelling. Dad&#039;s been taking it since March 2015,  and by August could barely walk.  He had joint swelling, and excruciating pain.  Doctor after doctor visit.  No clue! Called me,  his daughter,  RN BSN, and we returned to the doctor wanting to know why he didn&#039;t know more about this drugs side effects. NONE OF THEM DO! A friend veteran, same thing.  Could hardly Stanfield the pain,  talking about swollen and angioedema. They even ran heart tests! It was the Januvia,  and my dad, and the vet, taken off Januvia have completely recovered. The veteran had even been referred to a rheumatologist. My dad is now taking chromium type supplements, and watching his carbs. Doing very well."""
Victoza,"Diabetes, Type 2","""I&#039;ve been on Victoza for 3 weeks. I started at 0.6 and increased every 7 days. I&#039;ve lost 17 lbs thus far. Not eating much. I was nauseous in the beginning but it wears off.  I can&#039;t eat more then 1 cup of food without feeling miserably full. No desire to over eat at all.  So far so good.  Hoping I don&#039;t plateau.  I am still making good food choices and exercise regularly. Sugars were maintained on metformin b4 starting so I&#039;m hoping to go off metformin by October.  Praying I don&#039;t get pancreatitis, gallbladder problems or worse."""
"Insulin inhalation, rapid acting","Diabetes, Type 1","""The simplicty of use and rapidity of action make my life on the road so much simpler. I have a job that forces me to be on the road and eating out a lot. This stuff is amazing. Less swings if my new Dexcom is to be trusted. I might daily or twice a day basal another go and see if I could loss the pump. From my early tests precise dosing less critical."""
Liraglutide,"Diabetes, Type 2","""Victoza has been great for me. My numbers are 88 to 125 consistently. The first couple weeks were a little rough with the side effects but my body has adjusted the last 2 weeks. I am eating normal meals, snacking a little more and sleeping better. My A1c was 8.3 in June, gets checked again in November. Based on my blood sugar testing, I expect my A1c to be below 7. Thank you Victoza!!!"""
Liraglutide,"Diabetes, Type 2","""I am on 2.4mg. The egg burps and diarrhea are constant. Tomorrow I go to 3mg. Hoping side effects subside"""
Invokana,"Diabetes, Type 2","""Thought this medicine was great at first, but after going to 300mg dose, got yeast infections, terrible itching and burning. Tried all the suggested ideas, probotics, washing more, baby wipes, drinking more water, vasoline, moniststat, but to no avail.  Would clear up for a few days and start up again. Just could not stand it any longer. While I could eat slightly more carbs, only lost about 10lbs after 5 months and then it seemed like when I did eat carbs my sugar went up and stayed up until I ate my next meal before going down.  A1c only went from 7.9 to 7.8 after three months on the higher dose.  Also had terrible dry mouth and frequent urination.  Just unsure of this medication."""
Trulicity,"Diabetes, Type 2","""My doctor put me on Trulicity 0.75mg once weekly and it really has made a life saving difference. I have had no symptoms except I&#039;ve lost 25 pounds in 6 months.  My blood sugar levels have all been normal range.  I do watch what I eat and have been exercising with my kids at the gym two to three times a week.  My dr. Also has me on Januvia 100mg once daily, and metformin 1,000mg twice daily.   I feel wonderful and finally I&#039;m down to a size 7."""
Jardiance,"Diabetes, Type 2","""I have been on this for 3 months, I have lost 30 pounds.  My A1C went from 12.7 to 6.1.  My blood sugar numbers went from 230 to 98 I have not had any of the negative side effects. I have not had dry mouth or waking up to urinate as some others have experienced.  This medication has worked great for me so far."""
